date,AVG.INTWO,CORRA_TOTAL_VOLUME,CORRA_TRIMMED_VOLUME,CORRA_NUMBER_OF_SUBMITTERS,CORRA_RATE_AT_TRIM,CORRA_RATE_AT_PERCENTILE_5,CORRA_RATE_AT_PERCENTILE_25,CORRA_RATE_AT_PERCENTILE_75,CORRA_RATE_AT_PERCENTILE_95,CORRA_PUBLICATION_STATUS,CORRA_CALCULATION_METHODOLOGY
29/12/1997,4.3339,,,,,,,,,,
30/12/1997,4.3324,,,,,,,,,,
31/12/1997,4.37,,,,,,,,,,
2/01/1998,4.368,,,,,,,,,,
5/01/1998,4.363,,,,,,,,,,
6/01/1998,4.3449,,,,,,,,,,
7/01/1998,4.2884,,,,,,,,,,
8/01/1998,4.1081,,,,,,,,,,
9/01/1998,4.3241,,,,,,,,,,
12/01/1998,3.0727,,,,,,,,,,
13/01/1998,4.3216,,,,,,,,,,
14/01/1998,4.3662,,,,,,,,,,
15/01/1998,4.3164,,,,,,,,,,
16/01/1998,4.3361,,,,,,,,,,
19/01/1998,4.2942,,,,,,,,,,
20/01/1998,4.2054,,,,,,,,,,
21/01/1998,4.2892,,,,,,,,,,
22/01/1998,4.3326,,,,,,,,,,
23/01/1998,4.33,,,,,,,,,,
26/01/1998,4.35,,,,,,,,,,
27/01/1998,4.3478,,,,,,,,,,
28/01/1998,4.3865,,,,,,,,,,
29/01/1998,4.4045,,,,,,,,,,
30/01/1998,4.911,,,,,,,,,,
2/02/1998,4.9266,,,,,,,,,,
3/02/1998,4.7864,,,,,,,,,,
4/02/1998,4.8192,,,,,,,,,,
5/02/1998,4.8583,,,,,,,,,,
6/02/1998,4.7487,,,,,,,,,,
9/02/1998,4.72,,,,,,,,,,
10/02/1998,4.7155,,,,,,,,,,
11/02/1998,4.7166,,,,,,,,,,
12/02/1998,4.7415,,,,,,,,,,
13/02/1998,4.84,,,,,,,,,,
16/02/1998,4.7893,,,,,,,,,,
17/02/1998,4.7426,,,,,,,,,,
18/02/1998,4.7464,,,,,,,,,,
19/02/1998,4.8105,,,,,,,,,,
20/02/1998,4.75,,,,,,,,,,
23/02/1998,4.7029,,,,,,,,,,
